"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.3964,0,1,23952,-1,1,0,0,-0.22958,-0.012084,0,0,0,-1.0212e-14,0.2299,1.0212e-14,-1,0,5,4.7745e+06,7.9295e+05,0,0,0,0,4.8399e+06,-4019,2.3281e+05,0,2.3284e+05,0,0,-1.7276e-07,1.7276e-07,1,146.77,12.099,0
1.1393,1,1,13008,-1,1,1,0,-0.36647,0.040516,0,0,0,-2.8538e-13,0.3687,2.8538e-13,-1,0,5,4.2667e+06,2.2396e+06,0,0,0,0,4.8188e+06,2681.2,1.3591e+05,0,1.3593e+05,0,0,-1.1418e-07,1.1418e-07,1,228.38,18.058,0
1.6031,2,1,36238,-1,1,1,0,-0.51334,-0.00086753,0,0,0,3.253e-15,0.51334,3.253e-15,-1,0,7,1.3388e+06,2.3043e+05,0,0,0,0,1.3585e+06,-2976.9,3.5374e+05,0,3.5375e+05,0,0,2.4302e-08,2.4302e-08,1,386.74,40.94,0
1.4903,3,1,29118,-1,0.5,0.5,0.5,-0.43782,0.00213,0,0,0,0.29465,0.43783,0.29465,-1,0,7,5.2708e+06,-1.9886e+05,32633,13.057,-86.07,87.752,5.2746e+06,-23661,2.9442e+05,3.3873e+06,3.4002e+06,-4.5617e+06,-11461,17448,4.5618e+06,1,488.36,1.3972,0
1.6041,4,1,36308,-1,0,1,0,-0.0295,-0.018921,0,0,0,2.3737e-15,0.035046,2.3737e-15,-1,0,7,2.2664e+06,-9.9053e+05,0,0,0,0,2.4734e+06,9344.1,3.5411e+05,0,3.5423e+05,0,0,2.1208e-08,2.1208e-08,1,46.588,46.371,0
1.7296,5,1,45515,-1,0,1,0,-0.23212,0.039636,0,0,0,-2.4772e-14,0.23548,2.4772e-14,-1,0,7,2.6593e+06,8.5061e+05,0,0,0,0,2.792e+06,-44276,4.1151e+05,0,4.1389e+05,0,0,-6.1176e-08,6.1176e-08,1,142.57,34.175,0
1.78,6,1,49607,-1,1,1,0,-0.47008,0.025099,0,0,0,1.5472e-13,0.47075,1.5472e-13,-1,0,7,5.1307e+06,2.272e+06,0,0,0,0,5.6112e+06,3698.7,4.9564e+05,0,4.9565e+05,0,0,-8.6962e-08,8.6962e-08,1,268.24,27.86,0
1.3252,7,1,20473,-1,0.85,0.85,0.85,-0.37629,0.042015,0,0,0,-3.3844e-14,0.37863,3.3844e-14,-1,0,8,6.321e+05,-5.258e+05,0,0,0,0,8.222e+05,26396,2.0891e+05,0,2.1057e+05,0,0,1.298e-08,1.298e-08,1,167.48,63.745,0
1.5208,8,1,30941,-1,1,0,1,-0.54027,0.023116,0,0,0,1.6133e-14,0.54076,1.6133e-14,-1,0,5,1.4011e+05,-53569,0,0,0,0,1.5e+05,9145.5,3.1554e+05,0,3.1567e+05,0,0,3.9952e-08,3.9952e-08,1,322.59,65.773,0
1.5247,9,1,31176,-1,1,0,1,-0.35609,-0.015329,0,0,0,3.3825e-14,0.35642,3.3825e-14,-1,0,5,1.2692e+06,6.242e+05,0,0,0,0,1.4144e+06,1780.2,2.9547e+05,0,2.9548e+05,0,0,1.0463e-07,1.0463e-07,1,502.31,65.714,0
1.2543,10,1,17360,-1,1,0,0,-0.37249,-0.0071583,0,0,0,-1.2811e-12,0.37256,1.2811e-12,-1,0,6,2.9505e+06,2.9162e+06,0,0,0,0,4.1485e+06,-440.16,1.6689e+05,0,1.6689e+05,0,0,-3.2713e-07,3.2713e-07,1,535.75,42.018,0
1.6671,11,1,40759,-1,0.9,0.9,0.9,-0.48667,-0.053329,0,0,0,-1.5151e-15,0.48959,1.5151e-15,-1,0,4,2.7053e+05,-26911,0,0,0,0,2.7187e+05,-9098.9,3.9593e+05,0,3.9604e+05,0,0,1.6662e-08,1.6662e-08,1,416.22,67.491,0
1.5712,12,1,34119,-1,1,0,0,-0.38336,-0.0051645,0,0,0,-2.259e-14,0.3834,2.259e-14,-1,0,7,3.5999e+06,2.2569e+06,0,0,0,0,4.2489e+06,-287.43,3.3428e+05,0,3.3428e+05,0,0,-2.3472e-07,2.3472e-07,1,528.58,35.306,0
1.687,13,1,42235,-1,1,0,0,-0.48537,0.0021432,0,0,0,4.6643e-14,0.48538,4.6643e-14,-1,0,8,2.8564e+06,-1.4673e+05,0,0,0,0,2.8601e+06,-29.454,4.185e+05,0,4.185e+05,0,0,9.6625e-09,9.6625e-09,1,384.79,16.89,0
1.0852,14,1,11242,-1,1,0,0,-0.0027949,-0.0026447,0,0,0,2.3847e-14,0.0038478,2.3847e-14,-1,0,6,5.9337e+06,-2.9014e+06,0,0,0,0,6.6051e+06,-2621.9,1.1478e+05,0,1.1481e+05,0,0,3.0035e-08,3.0035e-08,1,43.422,22.705,0
1.8468,15,1,55404,-1,0.85,0.85,0.85,-0.51848,-0.0051351,0,0,0,-2.5427e-14,0.5185,2.5427e-14,-1,0,7,1.9438e+06,-40366,0,0,0,0,1.9442e+06,-4939.5,5.4352e+05,0,5.4354e+05,0,0,-2.3266e-07,2.3266e-07,1,390.75,57.29,0
1.7293,16,1,45487,-1,0.5,0.5,0.5,-0.38386,-0.00066563,0,0,0,1.0691,0.38386,1.0691,-1,0,8,3.6154e+06,1.6268e+06,0,0,0,0,3.9646e+06,-161.52,4.4317e+05,0,4.4317e+05,0,0,6.496e-08,6.496e-08,1,500.84,7.506,0
1.0593,17,1,10457,-1,1,0,1,-0.50817,-0.002397,0,0,0,-4.2759e-14,0.50818,4.2759e-14,-1,0,4,-1.5299e+05,2.5028e+05,0,0,0,0,2.9334e+05,-2872.7,1.0444e+05,0,1.0448e+05,0,0,-3.5943e-09,3.5943e-09,1,394.41,69.854,0
1.8338,18,1,54246,-1,0.5,0.5,0.5,-0.26013,0.0038691,0,0,0,0.01058,0.26016,0.01058,-1,0,8,3.4978e+06,2.472e+06,0,0,0,0,4.2831e+06,13697,5.5233e+05,0,5.525e+05,0,0,2.7328e-08,2.7328e-08,1,151.67,23.175,0
1.7808,19,1,49680,-1,1,1,0,-0.41711,0.028212,0,0,0,-5.7611e-14,0.41806,5.7611e-14,-1,0,6,7.1918e+06,3.9526e+06,0,0,0,0,8.2064e+06,-21504,4.8479e+05,0,4.8526e+05,0,0,-2.7753e-07,2.7753e-07,1,246.74,19.512,0
1.6341,20,1,38385,-1,0,1,0,-0.0022694,-0.02563,0,0,0,2.129e-16,0.02573,2.129e-16,-1,0,10,-1.3487e+05,-1.6302e+05,0,0,0,0,2.1158e+05,-9314.1,3.8609e+05,0,3.8621e+05,0,0,-2.3283e-10,2.3283e-10,1,48.355,34.249,0
1.7109,21,1,44051,-1,0,1,0,-0.38332,0.0099292,0,0,0,6.1132e-14,0.38344,6.1132e-14,-1,0,7,2.8707e+06,1.445e+06,0,0,0,0,3.2139e+06,-4484.9,4.328e+05,0,4.3283e+05,0,0,1.9791e-08,1.9791e-08,1,498.52,31.209,0
1.428,22,1,25612,-1,0,1,1,0.037945,-0.00094327,0,0,0,-9.2391e-15,0.037957,9.2391e-15,-1,0,8,6.9614e+05,4.6944e+05,0,0,0,0,8.3963e+05,-3029.4,2.4703e+05,0,2.4705e+05,0,0,-1.6014e-08,1.6014e-08,1,22.698,65.977,0
1.7733,23,1,49055,-1,0,1,0,-0.38387,0.00064387,0,0,0,7.3385e-14,0.38387,7.3385e-14,-1,0,9,2.8167e+06,72645,0,0,0,0,2.8177e+06,1563.4,4.8266e+05,0,4.8266e+05,0,0,2.3866e-07,2.3866e-07,1,512.36,35.931,0
1.5399,24,1,32119,-1,0,1,1,-0.29947,0.031652,0,0,0,-1.1301e-14,0.30114,1.1301e-14,-1,0,6,1.7267e+05,5.4742e+05,0,0,0,0,5.74e+05,-7396.5,3.3282e+05,0,3.329e+05,0,0,2.4869e-08,2.4869e-08,1,128.51,62.552,0
1.4744,25,1,28196,-1,0,1,1,-0.3853,0.094274,0,0,0,9.7061e-15,0.39666,9.7061e-15,-1,0,6,3.1309e+05,-3.1291e+05,0,0,0,0,4.4265e+05,-25661,2.5063e+05,0,2.5194e+05,0,0,-2.2636e-08,2.2636e-08,1,147.02,67.242,0
1.36,26,1,22127,-1,0.5,0.5,0.5,-0.26626,0.0011297,0,0,0,2.3167e-14,0.26626,2.3167e-14,-1,0,7,5.6625e+06,6.4437e+05,0,0,0,0,5.699e+06,3426.2,2.0942e+05,0,2.0945e+05,0,0,-3.1432e-08,3.1432e-08,1,159.86,12.679,0
1.7641,27,1,48290,-1,1,1,0,-0.47223,-0.030796,0,0,0,3.0231e-15,0.47323,3.0231e-15,-1,0,7,6.4372e+05,-2.2967e+06,0,0,0,0,2.3852e+06,-66920,4.4976e+05,0,4.5471e+05,0,0,-6.7404e-08,6.7404e-08,1,327.09,40.264,0
1.6061,28,1,36447,-1,1,0,0,-0.4209,0.0071439,0,0,0,1.6228e-14,0.42096,1.6228e-14,-1,0,7,1.5263e+06,1.0619e+06,0,0,0,0,1.8594e+06,-10605,3.6369e+05,0,3.6385e+05,0,0,5.489e-08,5.489e-08,1,253.68,10.152,0
