"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.6671,11,1,40759,-1,0.9,0.9,0.9,-0.018269,-0.0093277,0,0,0,7.8275e-14,0.020513,7.8275e-14,-1,0,4,-29734,-3.2321e+05,0,0,0,0,3.2457e+05,755.33,3.928e+05,0,3.9281e+05,0,0,-8.8472e-08,8.8472e-08,1,556.73,59.149,0
1.5712,12,1,34119,-1,1,0,0,-0.40668,0.031785,0,0,0,9.8672e-14,0.40792,9.8672e-14,-1,0,6,4.1126e+06,3.7449e+06,0,0,0,0,5.5621e+06,-1.0907e+05,4.4073e+05,0,4.5403e+05,0,0,4.5705e-07,4.5705e-07,1,685.16,22.789,0
1.687,13,1,42235,-1,1,0,0,-0.2028,0.0059091,0,0,0,-3.5412e-13,0.20288,3.5412e-13,-1,0,8,7.3857e+06,3.8877e+05,0,0,0,0,7.396e+06,-765.83,4.2741e+05,0,4.2741e+05,0,0,-8.1287e-08,8.1287e-08,1,518.93,14.965,0
1.0852,14,1,11242,-1,1,0,0,-0.0044771,0.00023783,0,0,0,2.0029e-14,0.0044834,2.0029e-14,-1,0,4,4.9974e+06,1.2637e+06,0,0,0,0,5.1547e+06,85.508,1.1024e+05,0,1.1024e+05,0,0,-1.5367e-08,1.5367e-08,1,71.98,8.8192,0
1.8468,15,1,55404,-1,0.85,0.85,0.85,-0.11324,-0.070779,0,0,0,-1.0295e-14,0.13354,1.0295e-14,-1,0,7,1.6012e+06,1.0398e+06,0,0,0,0,1.9092e+06,6393.1,5.3792e+05,0,5.3796e+05,0,0,-2.1407e-07,2.1407e-07,1,531.01,49.346,0
1.7293,16,1,45487,-1,0.5,0.5,0.5,-0.16784,0.026902,0,0,0,0.29017,0.16998,0.29017,-1,0,8,8.4182e+06,-4.5306e+05,0,0,0,0,8.4304e+06,73880,5.0047e+05,0,5.0589e+05,0,0,2.9051e+05,2.9051e+05,1,663.96,1.5516,0
1.0593,17,1,10457,-1,1,0,1,-0.072507,-0.10441,0,0,0,2.6763e-15,0.12711,2.6763e-15,-1,0,4,13949,8912.8,0,0,0,0,16554,-2061.9,94884,0,94907,0,0,-7.1395e-10,7.1395e-10,1,534.9,61.691,0
1.8338,18,1,54246,-1,0.5,0.5,0.5,0.036987,-0.0014569,0,0,0,-0.019243,0.037016,0.019243,-1,0,6,3.1243e+06,-848.01,0,0,0,0,3.1243e+06,-574.47,5.3207e+05,0,5.3207e+05,0,0,4174.1,4174.1,1,222.69,1.7939,0
1.7808,19,1,49680,-1,1,1,0,0.056572,0.063318,0,0,0,3.194e-15,0.084909,3.194e-15,-1,0,6,3.7985e+06,4.502e+06,0,0,0,0,5.8904e+06,30471,5.0266e+05,0,5.0358e+05,0,0,-2.9974e-07,2.9974e-07,1,356.55,20.307,0
1.6341,20,1,38385,-1,0,1,0,-0.0045507,-0.00027136,0,0,0,2.0561e-14,0.0045588,2.0561e-14,-1,0,6,4.8918e+06,2.1194e+05,0,0,0,0,4.8964e+06,275.43,3.7653e+05,0,3.7653e+05,0,0,3.4051e-08,3.4051e-08,1,77.018,12.549,0
1.7109,21,1,44051,-1,0,1,0,-0.28244,0.092247,0,0,0,-1.0922e-14,0.29713,1.0922e-14,-1,0,6,2.7952e+06,5.4088e+05,0,0,0,0,2.8471e+06,-1.4303e+05,4.821e+05,0,5.0287e+05,0,0,9.8284e-08,9.8284e-08,1,654.24,19.265,0
1.428,22,1,25612,-1,0,1,1,-0.0010849,0.00088173,0,0,0,-1.1679e-14,0.001398,1.1679e-14,-1,0,6,1.0262e+06,6.8835e+05,0,0,0,0,1.2357e+06,-281.95,2.5152e+05,0,2.5152e+05,0,0,-4.5111e-09,4.5111e-09,1,35.962,37.548,0
1.7733,23,1,49055,-1,0,1,0,-0.28787,0.12322,0,0,0,-1.267e-14,0.31313,1.267e-14,-1,0,9,2.1445e+06,1.6549e+06,0,0,0,0,2.7088e+06,93158,5.0384e+05,0,5.1238e+05,0,0,-7.6965e-08,7.6965e-08,1,668.85,23.343,0
