"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.3964,0,1,23952,-1,1,0,0,0.0027944,-0.004152,0,0,0,-1.9872e-14,0.0050048,1.9872e-14,-1,0,5,7.5265e+05,-6.6596e+05,0,0,0,0,1.005e+06,-689.33,2.3432e+05,0,2.3432e+05,0,0,6.2319e-08,6.2319e-08,1,230.33,9.6474,0
1.1393,1,1,13008,-1,1,1,0,0.0005494,-0.0020309,0,0,0,9.1022e-14,0.0021039,9.1022e-14,-1,0,4,1.0627e+05,5.9556e+05,0,0,0,0,6.0497e+05,214.47,1.2767e+05,0,1.2767e+05,0,0,1.7884e-08,1.7884e-08,1,394.54,17.531,0
1.6031,2,1,36238,-1,1,1,0,0.005558,-0.0053863,0,0,0,-1.5394e-13,0.0077398,1.5394e-13,-1,0,5,8.9571e+05,5.1239e+05,0,0,0,0,1.0319e+06,-509.81,3.5456e+05,0,3.5456e+05,0,0,-4.7599e-08,4.7599e-08,1,682.09,18.847,0
1.4903,3,1,29118,-1,0.5,0.5,0.5,0.0055179,7.8372e-05,0,0,0,-0.0040916,0.0055185,0.0040916,-1,0,5,1636.5,1.38e+06,0,0,0,0,1.38e+06,-73.811,2.8595e+05,0,2.8595e+05,0,0,-714.3,714.3,1,822.31,1.372,0
1.6041,4,1,36308,-1,0,1,0,0.0010762,-0.0053772,0,0,0,-2.2493e-16,0.0054839,2.2493e-16,-1,0,6,1.5299e+06,1.1262e+05,0,0,0,0,1.5341e+06,-333.85,3.5625e+05,0,3.5625e+05,0,0,4.0498e-08,4.0498e-08,1,77.47,16.792,0
1.7296,5,1,45515,-1,0,1,0,0.0038067,-0.0043612,0,0,0,2.2777e-14,0.0057889,2.2777e-14,-1,0,5,1.4379e+05,-7.5761e+05,0,0,0,0,7.7113e+05,-13.103,4.4623e+05,0,4.4623e+05,0,0,-2.4178e-08,2.4178e-08,1,244.81,11.533,0
1.78,6,1,49607,-1,1,1,0,-0.0001901,-0.001221,0,0,0,1.5896e-14,0.0012357,1.5896e-14,-1,0,4,6.9068e+05,-4.9709e+05,0,0,0,0,8.5096e+05,509.58,4.8714e+05,0,4.8714e+05,0,0,1.2049e-08,1.2049e-08,1,447.63,17.705,0
1.3252,7,1,20473,-1,0.85,0.85,0.85,0.00182,-0.0013851,0,0,0,6.2479e-15,0.0022871,6.2479e-15,-1,0,5,7.5694e+05,-2.2687e+05,0,0,0,0,7.902e+05,591.54,2.0016e+05,0,2.0016e+05,0,0,-3.2014e-10,3.2014e-10,1,284.29,25.692,0
1.5208,8,1,30941,-1,1,0,1,-0.00072476,-0.00046236,0,0,0,-3.0424e-15,0.00085968,3.0424e-15,-1,0,4,1.5255e+05,-9104.5,0,0,0,0,1.5282e+05,76.189,3.0427e+05,0,3.0427e+05,0,0,-3.4903e-08,3.4903e-08,1,549.13,34.535,0
1.5247,9,1,31176,-1,1,0,1,0.011053,-0.0045898,0,0,0,2.312e-15,0.011968,2.312e-15,-1,0,3,-31000,-44271,0,0,0,0,54046,-873.55,3.0583e+05,0,3.0583e+05,0,0,2.9286e-10,2.9286e-10,1,878.39,35.028,0
