"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.3964,0,1,23952,-1,1,0,0,-0.010883,-0.0076977,0,0,0,3.9892e-14,0.01333,3.9892e-14,-1,0,5,4.185e+06,-55029,0,0,0,0,4.1853e+06,-887.26,2.3716e+05,0,2.3716e+05,0,0,-1.1045e-07,1.1045e-07,1,211.24,9.8408,0
1.1393,1,1,13008,-1,1,1,0,-0.042791,0.0039218,0,0,0,1.0888e-13,0.04297,1.0888e-13,-1,0,5,2.3482e+06,2.879e+05,0,0,0,0,2.3657e+06,-471.42,1.2804e+05,0,1.2804e+05,0,0,8.2364e-08,8.2364e-08,1,362.56,17.953,0
1.6031,2,1,36238,-1,1,1,0,-0.17676,-0.00026082,0,0,0,5.3981e-14,0.17676,5.3981e-14,-1,0,6,3.3804e+06,6.1619e+05,0,0,0,0,3.4361e+06,-6124,3.5624e+05,0,3.5629e+05,0,0,3.6578e-07,3.6578e-07,1,626,19.697,0
1.4903,3,1,29118,-1,0.5,0.5,0.5,-0.054505,-0.010747,0,0,0,0.0031817,0.055555,0.0031817,-1,0,5,2.9972e+06,1.244e+06,0,0,0,0,3.2451e+06,-8055.7,2.6353e+05,0,2.6366e+05,0,0,10428,10428,1,753.99,1.3953,0
1.6041,4,1,36308,-1,0,1,0,-0.01051,-0.00034436,0,0,0,1.8271e-14,0.010515,1.8271e-14,-1,0,6,4.653e+06,670.93,0,0,0,0,4.653e+06,-476.36,3.5635e+05,0,3.5635e+05,0,0,6.2864e-09,6.2864e-09,1,71.637,17.301,0
1.7296,5,1,45515,-1,0,1,0,-0.044628,-0.0044333,0,0,0,2.9599e-14,0.044848,2.9599e-14,-1,0,5,3.9837e+06,-1.8867e+05,0,0,0,0,3.9882e+06,2154.5,4.464e+05,0,4.464e+05,0,0,1.0545e-07,1.0545e-07,1,224.6,11.957,0
1.78,6,1,49607,-1,1,1,0,-0.087575,0.0047807,0,0,0,-8.8877e-15,0.087706,8.8877e-15,-1,0,5,2.5314e+06,-2.6331e+05,0,0,0,0,2.545e+06,-3187.9,4.8846e+05,0,4.8847e+05,0,0,1.9791e-08,1.9791e-08,1,411.32,18.536,0
1.3252,7,1,20473,-1,0.85,0.85,0.85,-0.0345,-0.0086183,0,0,0,-9.0864e-14,0.03556,9.0864e-14,-1,0,5,4.2567e+06,-70088,0,0,0,0,4.2573e+06,1500.1,2.0176e+05,0,2.0177e+05,0,0,-1.8254e-07,1.8254e-07,1,260.99,26.847,0
1.5208,8,1,30941,-1,1,0,1,-0.12921,-0.01369,0,0,0,-1.5268e-14,0.12993,1.5268e-14,-1,0,4,1.782e+06,-8.2788e+05,0,0,0,0,1.9649e+06,-3413.3,3.0335e+05,0,3.0337e+05,0,0,-4.645e-08,4.645e-08,1,503.88,35.641,0
1.5247,9,1,31176,-1,1,0,1,-0.22134,-0.015262,0,0,0,1.6489e-13,0.22187,1.6489e-13,-1,0,5,2.8766e+06,5.3874e+05,0,0,0,0,2.9267e+06,10663,3.4222e+05,0,3.4238e+05,0,0,2.6973e-07,2.6973e-07,1,804.82,35.772,0
